12,0,1,16,0,15,0,0,22,11,23,1
0,0,14,0,0,0,12,0,0,13,0,7
7,16,0,20,23,11,1,22,0,0,6,0
0,0,0,8,0,19,9,6,24,0,0,17
0,0,0,0,0,8,9,6,7,0,0,14
17,9,0,13,11,24,0,0,2,0,5,0
0,5,14,0,2,0,0,0,0,13,0,0
0,0,24,10,0,0,0,0,0,4,0,19
17,0,0,13,11,24,0,0,6,0,5,0
7,0,0,21,0,18,1,22,15,0,0,12
0,0,3,0,20,0,0,0,0,16,0,0
7,0,0,0,10,0,1,22,0,5,0,0
0,4,6,2,0,7,6,0,14,9,0,24
0,13,0,2,5,7,9,6,7,0,0,0
10,10,22,21,16,18,0,0,0,1,0,0
10,0,22,20,0,11,0,0,3,1,6,15
0,0,0,5,4,8,9,6,7,0,0,0
0,0,15,0,21,0,0,0,0,10,0,0
0,0,24,10,8,0,0,5,0,4,0,0
0,0,3,0,0,0,0,0,0,16,12,11
0,0,15,0,0,0,0,0,0,10,0,18
12,1,1,16,0,15,0,0,0,11,23,1
7,0,12,0,0,0,1,22,0,0,0,3
0,4,6,8,13,19,0,4,10,9,0,0
